min_temp,scientific_name,common_name
-15 to -10,Balsamorhiza hookeri (Hook.) Nutt.,Hooker's balsamroot
-15 to -10,Balsamorhiza sagittata (Pursh) Nutt.,Arrowleaf balsamroot
-15 to -10,Betula occidentalis Hook.,Water birch
-15 to -10,Betula papyrifera Marshall,Paper birch
-15 to -10,Bouteloua curtipendula (Michx.) Torr.,Sideoats grama
-15 to -10,Bromus carinatus Hook. & Arn.,California brome
-10 to -5,Bromus inermis Leyss.,Smooth brome
-10 to -5,Bromus marginatus Nees ex Steud.,Mountain brome
-10 to -5,Bromus vulgaris (Hook.) Shear,Columbia brome
-10 to -5,Calamagrostis canadensis (Michx.) P. Beauv.,Bluejoint
-10 to -5,Calocedrus decurrens (Torr.) Florin,Incense cedar
-10 to -5,Caragana arborescens Lam.,Siberian peashrub
-10 to -5,Carex aquatilis Wahlenb.,Water sedge
-10 to -5,Carex nebrascensis Dewey,Nebraska sedge
-10 to -5,Carex obnupta L.H. Bailey,Slough sedge
-10 to -5,Carex vulpinoidea Michx.,Fox sedge
-10 to -5,Catalpa bignonioides Walter,Southern catalpa
-10 to -5,Ceanothus cordulatus Kellogg,Whitethorn ceanothus
-10 to -5,Ceanothus cuneatus (Hook.) Nutt.,Buckbrush
-10 to -5,Celtis laevigata Willd.,Sugarberry
-10 to -5,Chaenactis douglasii (Hook.) Hook. & Arn.,Douglas' dustymaiden
-10 to -5,Chrysothamnus viscidiflorus (Hook.) Nutt.,Yellow rabbitbrush
-10 to -5,Clematis ligusticifolia Nutt.,Western white clematis
-10 to -5,Coreopsis lanceolata L.,Lanceleaf tickseed
-10 to -5,Coreopsis tinctoria Nutt.,Golden tickseed
-10 to -5,Cornus sericea L. ssp. occidentalis (Torr. & A. Gray) Fosberg,Western dogwood
-10 to -5,Cornus sericea L. ssp. sericea ,Redosier dogwood
-10 to -5,Corylus cornuta Marshall,Beaked hazelnut
-10 to -5,Corylus cornuta Marshall var. californica (A. DC.) Sharp,California hazelnut
-10 to -5,Crataegus douglasii Lindl.,Black hawthorn
-10 to -5,Crepis acuminata Nutt.,Tapertip hawksbeard
-10 to -5,Cynodon dactylon (L.) Pers.,Bermudagrass
-10 to -5,Dactylis glomerata L.,Orchardgrass
-10 to -5,Danthonia californica Bol.,California oatgrass
-10 to -5,Deschampsia elongata (Hook.) Munro,Slender hairgrass
-10 to -5,Distichlis spicata (L.) Greene,Saltgrass
-10 to -5,Elaeagnus angustifolia L.,Russian olive
-5 to 0,Eleocharis palustris (L.) Roem. & Schult.,Common spikerush
-5 to 0,Elymus canadensis L.,Canada wildrye
-5 to 0,Elymus elymoides (Raf.) Swezey,Squirreltail
-5 to 0,Elymus glaucus Buckley,Blue wildrye
-5 to 0,Elymus lanceolatus (Scribn. & J.G. Sm.) Gould ssp. lanceolatus ,Thickspike wheatgrass
-5 to 0,Elymus trachycaulus (Link) Gould ex Shinners,Slender wheatgrass
-5 to 0,Elymus trachycaulus (Link) Gould ex Shinners ssp. trachycaulus ,Slender wheatgrass
-5 to 0,Ephedra nevadensis S. Watson,Nevada jointfir
-5 to 0,Ephedra viridis Coville,Mormon tea
-5 to 0,Eragrostis curvula (Schrad.) Nees,Weeping lovegrass
-5 to 0,Erigeron philadelphicus L.,Philadelphia fleabane
-5 to 0,Eriodictyon californicum (Hook. & Arn.) Torr.,California yerba santa
-5 to 0,Eriogonum niveum Douglas ex Benth.,Snow buckwheat
-5 to 0,Eriogonum umbellatum Torr.,Sulphur-flower buckwheat
-5 to 0,Eschscholzia californica Cham.,California poppy
-5 to 0,Euthamia occidentalis Nutt.,Western goldentop
-5 to 0,Festuca californica Vasey,California fescue
-5 to 0,Festuca campestris Rydb.,Rough fescue
-5 to 0,Festuca idahoensis Elmer,Idaho fescue
-5 to 0,Festuca ovina L.,Sheep fescue
-5 to 0,Festuca rubra L.,Red fescue
-5 to 0,Fragaria chiloensis (L.) Mill.,Beach strawberry
-5 to 0,Fraxinus latifolia Benth.,Oregon ash
-5 to 0,Fremontodendron californicum (Torr.) Coville,California flannelbush
-5 to 0,Gaillardia aristata Pursh,Blanketflower
-5 to 0,Geranium viscosissimum Fisch. & C.A. Mey. ex C.A. Mey.,Sticky purple geranium
-5 to 0,Glyceria striata (Lam.) Hitchc.,Fowl mannagrass
-5 to 0,Glycyrrhiza lepidota Pursh,American licorice
-5 to 0,Gutierrezia sarothrae (Pursh) Britton & Rusby,Broom snakeweed
-5 to 0,Hedysarum boreale Nutt.,Utah sweetvetch
0 to 5,Helianthella uniflora (Nutt.) Torr. & A. Gray,Oneflower helianthella
0 to 5,Hesperostipa comata (Trin. & Rupr.) Barkworth ssp. comata ,Needle and thread
0 to 5,Holodiscus discolor (Pursh) Maxim.,Oceanspray
0 to 5,Hordeum brachyantherum Nevski,Meadow barley
0 to 5,Iris missouriensis Nutt.,Rocky mountain iris
0 to 5,Juncus effusus L.,Common rush
0 to 5,Juncus tenuis Willd.,Poverty rush
0 to 5,Juniperus scopulorum Sarg.,Rocky mountain juniper
0 to 5,Juniperus virginiana L.,Eastern redcedar
0 to 5,Koeleria macrantha (Ledeb.) Schult.,Prairie junegrass
0 to 5,Krascheninnikovia lanata (Pursh) A. Meeuse & Smit,Winterfat
0 to 5,Lathyrus latifolius L.,Perennial pea
0 to 5,Lathyrus sylvestris L.,Flat pea
0 to 5,Ledum groenlandicum Oeder,Bog labrador tea
0 to 5,Leersia oryzoides (L.) Sw.,Rice cutgrass
0 to 5,Leymus cinereus (Scribn. & Merr.) Á. Löve,Basin wildrye
0 to 5,Leymus racemosus (Lam.) Tzvelev,Mammoth wildrye
0 to 5,Leymus triticoides (Buckley) Pilg.,Beardless wildrye
0 to 5,Linum lewisii Pursh,Lewis flax
0 to 5,Lolium perenne L.,Perennial ryegrass
0 to 5,Lolium perenne L. ssp. multiflorum (Lam.) Husnot,Italian ryegrass
0 to 5,Lomatium dissectum (Nutt.) Mathias & Constance,Fernleaf biscuitroot
0 to 5,Lomatium triternatum (Pursh) J.M. Coult. & Rose,Nineleaf biscuitroot
0 to 5,Lonicera involucrata (Richardson) Banks ex Spreng.,Twinberry honeysuckle
0 to 5,Lotus corniculatus L.,Bird's-foot trefoil
0 to 5,Lotus crassifolius (Benth.) Greene,Big deervetch
0 to 5,Lupinus sericeus Pursh,Silky lupine
0 to 5,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
0 to 5,Medicago polymorpha L.,Burclover
0 to 5,Medicago sativa L.,Alfalfa
0 to 5,Melica spectabilis Scribn.,Purple oniongrass
5 to 10,Melilotus officinalis (L.) Lam.,Sweetclover
5 to 10,Monarda fistulosa L.,Wild bergamot
5 to 10,Morella californica (Cham.) Wilbur,California wax myrtle
5 to 10,Morus alba L.,White mulberry
5 to 10,Oemleria cerasiformis (Torr. & A. Gray ex Hook. & Arn.) Landon,Indian plum
5 to 10,Onobrychis viciifolia Scop.,Sainfoin
5 to 10,Opuntia polyacantha Haw.,Plains pricklypear
5 to 10,Packera cana (Hook.) W.A. Weber & Á. Löve,Woolly groundsel
5 to 10,Pascopyrum smithii (Rydb.) Á. Löve,Western wheatgrass
5 to 10,Paspalum distichum L.,Knotgrass
5 to 10,Peltandra virginica (L.) Schott,Green arrow arum
5 to 10,Pennisetum glaucum (L.) R. Br.,Pearl millet
5 to 10,Penstemon acuminatus Douglas ex Lindl.,Sharpleaf penstemon
5 to 10,Penstemon deustus Douglas ex Lindl.,Scabland penstemon
5 to 10,Penstemon rydbergii A. Nelson,Rydberg's penstemon
5 to 10,Penstemon speciosus Douglas ex Lindl.,Royal penstemon
5 to 10,Penstemon venustus Douglas ex Lindl.,Venus penstemon
5 to 10,Phacelia hastata Douglas ex Lehm.,Silverleaf phacelia
5 to 10,Phalaris aquatica L.,Bulbous canarygrass
5 to 10,Phalaris arundinacea L.,Reed canarygrass
5 to 10,Philadelphus lewisii Pursh,Lewis' mock orange
5 to 10,Phleum pratense L.,Timothy
5 to 10,Phragmites australis (Cav.) Trin. ex Steud.,Common reed
5 to 10,Physocarpus capitatus (Pursh) Kuntze,Pacific ninebark
5 to 10,Picea engelmannii Parry ex Engelm.,Engelmann spruce
5 to 10,Picea sitchensis (Bong.) Carrière,Sitka spruce
5 to 10,Pinus albicaulis Engelm.,Whitebark pine
5 to 10,Pinus jeffreyi Balf.,Jeffrey pine
5 to 10,Pinus ponderosa Lawson & C. Lawson,Ponderosa pine
5 to 10,Pinus sabiniana Douglas ex Douglas,California foothill pine
10 to 15,Poa bulbosa L.,Bulbous bluegrass
10 to 15,Poa compressa L.,Canada bluegrass
10 to 15,Poa fendleriana (Steud.) Vasey,Muttongrass
10 to 15,Poa pratensis L.,Kentucky bluegrass
10 to 15,Poa secunda J. Presl,Sandberg bluegrass
10 to 15,Pontederia cordata L.,Pickerelweed
10 to 15,Populus angustifolia James,Narrowleaf cottonwood
10 to 15,Populus balsamifera L. ssp. trichocarpa (Torr. & A. Gray ex Hook.) Brayshaw,Black cottonwood
10 to 15,Populus tremuloides Michx.,Quaking aspen
10 to 15,Potamogeton crispus L.,Curly pondweed
10 to 15,Potentilla gracilis Douglas ex Hook.,Slender cinquefoil
10 to 15,Prunus emarginata (Douglas ex Hook.) D. Dietr.,Bitter cherry
10 to 15,Prunus virginiana L.,Chokecherry
10 to 15,Prunus virginiana L. var. demissa (Nutt.) Torr.,Western chokecherry
10 to 15,Pseudoroegneria spicata (Pursh) Á. Löve ssp. inermis (Scribn. & J.G. Sm.) Á. Löve,Beardless wheatgrass
10 to 15,Pseudoroegneria spicata (Pursh) Á. Löve ssp. spicata ,Bluebunch wheatgrass
10 to 15,Pseudotsuga menziesii (Mirb.) Franco,Douglas-fir
10 to 15,Purshia tridentata (Pursh) DC.,Antelope bitterbrush
10 to 15,Quercus chrysolepis Liebm.,Canyon live oak
10 to 15,Quercus garryana Douglas ex Hook.,Oregon white oak
10 to 15,Quercus kelloggii Newberry,California black oak
10 to 15,Rhus glabra L.,Smooth sumac
10 to 15,Rhus trilobata Nutt.,Skunkbush sumac
10 to 15,Ribes aureum Pursh,Golden currant
10 to 15,Ribes sanguineum Pursh,Redflower currant
10 to 15,Robinia pseudoacacia L.,Black locust
10 to 15,Rosa californica Cham. & Schltdl.,California wildrose
10 to 15,Rosa gymnocarpa Nutt.,Dwarf rose
10 to 15,Rosa nutkana C. Presl,Nootka rose
10 to 15,Rosa woodsii Lindl.,Woods' rose
15 to 20,Rubus idaeus L.,American red raspberry
15 to 20,Rubus spectabilis Pursh,Salmonberry
15 to 20,Rudbeckia hirta L.,Blackeyed susan
15 to 20,Sagittaria cuneata Sheldon,Arumleaf arrowhead
15 to 20,Sagittaria latifolia Willd.,Broadleaf arrowhead
15 to 20,Salix amygdaloides Andersson,Peachleaf willow
15 to 20,Salix bebbiana Sarg.,Bebb willow
15 to 20,Salix drummondiana Barratt ex Hook.,Drummond's willow
15 to 20,Salix exigua Nutt.,Narrowleaf willow
15 to 20,Salix lemmonii Bebb,Lemmon's willow
15 to 20,Salix lucida Muhl.,Shining willow
15 to 20,Salix lucida Muhl. ssp. lasiandra (Benth.) A.E. Murray,Pacific willow
15 to 20,Salix prolixa Andersson,Mackenzie's willow
15 to 20,Salix sitchensis Sanson ex Bong.,Sitka willow
15 to 20,Salvia dorrii (Kellogg) Abrams,Purple sage
15 to 20,Sambucus nigra L. ssp. cerulea (Raf.) R. Bolli,Blue elderberry
15 to 20,Sanguisorba minor Scop.,Small burnet
15 to 20,Sarcobatus vermiculatus (Hook.) Torr.,Greasewood
15 to 20,Schoenoplectus californicus (C.A. Mey.) Palla,California bulrush
15 to 20,Schoenoplectus tabernaemontani (C.C. Gmel.) Palla,Softstem bulrush
15 to 20,Scirpus cyperinus (L.) Kunth,Woolgrass
15 to 20,Senecio integerrimus Nutt.,Lambstongue ragwort
15 to 20,Shepherdia argentea (Pursh) Nutt.,Silver buffaloberry
15 to 20,Shepherdia canadensis (L.) Nutt.,Russet buffaloberry
15 to 20,Sisyrinchium idahoense E.P. Bicknell,Idaho blue-eyed grass
15 to 20,Solidago canadensis L.,Canada goldenrod
15 to 20,Solidago missouriensis Nutt.,Missouri goldenrod
15 to 20,Sparganium eurycarpum Engelm.,Broadfruit bur-reed
15 to 20,Spartina alterniflora Loisel.,Smooth cordgrass
15 to 20,Spartina patens (Aiton) Muhl.,Saltmeadow cordgrass
15 to 20,Spartina pectinata Bosc ex Link,Prairie cordgrass
15 to 20,Sphaeralcea coccinea (Nutt.) Rydb.,Scarlet globemallow
15 to 20,Sphaeralcea grossulariifolia (Hook. & Arn.) Rydb.,Gooseberryleaf globemallow
15 to 20,Sphaeralcea munroana (Douglas) Spach,Munro's globemallow
15 to 20,Spiraea douglasii Hook.,Rose spirea
15 to 20,Sporobolus airoides (Torr.) Torr.,Alkali sacaton
15 to 20,Sporobolus compositus (Poir.) Merr. var. compositus ,Composite dropseed
15 to 20,Sporobolus cryptandrus (Torr.) A. Gray,Sand dropseed
15 to 20,Symphoricarpos albus (L.) S.F. Blake,Common snowberry
15 to 20,Syringa vulgaris L.,Common lilac
15 to 20,Tetradymia canescens DC.,Spineless horsebrush
15 to 20,Tetradymia spinosa Hook. & Arn.,Shortspine horsebrush
15 to 20,Thinopyrum intermedium (Host) Barkworth & D.R. Dewey,Intermediate wheatgrass
20 to 25,Thinopyrum ponticum (Podp.) Z.-W. Liu & R.-C. Wang,Tall wheatgrass
20 to 25,Thuja plicata Donn ex D. Don,Western redcedar
20 to 25,Trifolium fragiferum L.,Strawberry clover
20 to 25,Trifolium hybridum L.,Alsike clover
20 to 25,Trifolium pratense L.,Red clover
20 to 25,Trifolium repens L.,White clover
20 to 25,Trifolium wormskioldii Lehm.,Cows clover
20 to 25,Tsuga heterophylla (Raf.) Sarg.,Western hemlock
20 to 25,Typha angustifolia L.,Narrowleaf cattail
20 to 25,Typha latifolia L.,Broadleaf cattail
20 to 25,Ulmus pumila L.,Siberian elm
20 to 25,Umbellularia californica (Hook. & Arn.) Nutt.,California laurel
20 to 25,Vaccinium membranaceum Douglas ex Torr.,Thinleaf huckleberry
20 to 25,Vaccinium ovatum Pursh,California huckleberry
20 to 25,Vaccinium parvifolium Sm.,Red huckleberry
20 to 25,Vaccinium scoparium Leiberg ex Coville,Grouse whortleberry
20 to 25,Vicia americana Muhl. ex Willd.,American vetch
20 to 25,Vicia villosa Roth,Winter vetch
20 to 25,Vicia villosa Roth ssp. varia (Host) Corb.,Winter vetch
20 to 25,Vinca minor L.,Common periwinkle
20 to 25,Xerophyllum tenax (Pursh) Nutt.,Common beargrass
